THERMIC;CaCl2;COW;GOAT;SHEEP
plane;yes;46,96;50,565;53,345
plane;yes;37,235;37,685;53,79
plane;yes;36,205;34,62;52,635
plane;yes;38,835;40,92;50,33
plane;no;61,12;44,79;73,53
plane;no;53,57;37,015;57,77
plane;no;61,105;44,4;76,515
plane;no;58,465;43,195;58,735
pasteurized;yes;46,645;47,34;60,94
pasteurized;yes;40,015;42,055;64,12
pasteurized;yes;47,18;41,39;64,715
pasteurized;yes;50,16;42,14;72,145
pasteurized;no;56,57;51,195;68,565
pasteurized;no;47,37;52,74;71,22
pasteurized;no;51,025;46,265;72,715
pasteurized;no;47,205;48,08;76,695
